probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
239,122,176,0,0.722656,0.348151,0.315748,0.146671,0.54,1.52,0,15
240,114,176,0,0.722656,0.536315,0.485126,0.228662,0.49,1.13,0,10
241,134,176,0,0.722656,0.323258,0.284870,0.152789,0.41,1.25,0,11
242,115,176,0,0.722656,0.220444,0.194846,0.103105,0.54,1.38,0,12
243,123,176,0,0.722656,0.341317,0.315211,0.130917,0.52,1.52,0,13
244,124,176,0,0.722656,0.267793,0.238583,0.121620,0.54,1.66,0,14
245,117,176,0,0.722656,0.623673,0.542148,0.308291,0.60,1.79,0,15
246,128,176,0,0.722656,0.301172,0.268674,0.136084,0.48,1.55,0,14
247,128,176,0,0.722656,0.333839,0.299543,0.147386,0.51,1.68,0,15
248,118,176,0,0.722656,0.348895,0.311709,0.156734,0.51,1.39,0,12
249,118,176,0,0.722656,0.313495,0.283034,0.134800,0.52,1.49,0,13
250,116,176,0,0.722656,0.373004,0.330249,0.173399,0.54,1.60,0,14
251,121,176,0,0.722656,0.390727,0.342464,0.188113,0.56,1.73,0,15
252,125,176,0,0.722656,0.465790,0.429446,0.180379,0.39,0.84,0,8
253,119,176,0,0.722656,0.346056,0.317246,0.138237,0.41,0.90,0,9
254,120,176,0,0.722656,0.536015,0.464854,0.266877,0.47,1.05,0,10
255,126,176,0,0.718750,0.300229,0.271437,0.128293,0.45,1.16,0,11
256,128,176,0,0.722656,0.270631,0.240040,0.124986,0.41,1.23,0,12
257,118,176,0,0.722656,0.422920,0.382715,0.179975,0.52,1.37,0,13
258,123,176,0,0.722656,0.342663,0.306207,0.153801,0.49,1.48,0,14
259,120,176,0,0.722656,0.358061,0.319194,0.162242,0.55,1.63,0,15
260,127,176,0,0.722656,0.347552,0.307512,0.161952,0.44,1.31,0,11
261,126,176,0,0.722656,0.641690,0.552860,0.325749,0.47,1.43,0,12
262,108,176,0,0.722656,0.262449,0.237098,0.112533,0.61,1.56,0,13
263,120,176,0,0.722656,0.295377,0.263331,0.133808,0.57,1.69,0,14
264,123,176,0,0.722656,0.323233,0.289994,0.142771,0.56,1.82,0,15
265,130,176,0,0.722656,0.538138,0.487675,0.227521,0.39,1.05,0,11
266,120,176,0,0.722656,0.407725,0.368422,0.174655,0.47,1.17,0,12
267,125,176,0,0.722656,0.249988,0.225985,0.106886,0.44,1.27,0,13
268,120,176,0,0.722656,0.337462,0.299096,0.156276,0.51,1.41,0,14
269,125,176,0,0.722656,0.405240,0.360235,0.185606,0.51,1.53,0,15
270,123,176,0,0.722656,0.349170,0.312295,0.156179,0.47,1.21,0,10
271,118,176,0,0.722656,0.279207,0.248656,0.126992,0.52,1.33,0,11
272,117,176,0,0.722656,0.365622,0.329674,0.158096,0.56,1.47,0,12
273,126,176,0,0.722656,0.314003,0.278743,0.144569,0.55,1.62,0,13
274,121,176,0,0.722656,0.375306,0.332513,0.174039,0.59,1.75,0,14
275,115,176,0,0.722656,0.336218,0.299123,0.153518,0.68,1.91,0,15
276,111,176,0,0.722656,0.231227,0.205296,0.106393,0.66,1.71,0,15
277,131,176,0,0.722656,0.294404,0.262372,0.133547,0.44,1.41,0,13
278,123,176,0,0.722656,0.303220,0.263332,0.150328,0.54,1.56,0,14
279,124,176,0,0.722656,0.378716,0.338389,0.170054,0.54,1.69,0,15
280,123,176,0,0.722656,0.428515,0.386201,0.185671,0.48,1.40,0,13
281,117,176,0,0.722656,0.313564,0.282359,0.136367,0.56,1.53,0,14
282,124,176,0,0.722656,0.382001,0.336409,0.180980,0.53,1.65,0,15
283,121,176,0,0.722656,0.314040,0.270600,0.159364,0.49,1.35,0,13
284,114,176,0,0.722656,0.297477,0.269128,0.126739,0.58,1.50,0,14
285,117,176,0,0.722656,0.348406,0.319527,0.138884,0.59,1.63,0,15
286,126,176,0,0.722656,0.343281,0.310430,0.146544,0.45,1.28,0,13
287,130,176,0,0.722656,0.240853,0.215607,0.107350,0.45,1.41,0,14
288,114,176,0,0.722656,0.567454,0.509793,0.249229,0.60,1.56,0,15
289,120,176,0,0.722656,0.289822,0.253386,0.140685,0.51,1.25,0,10
290,124,176,0,0.722656,0.362847,0.329020,0.152985,0.51,1.38,0,11
291,119,176,0,0.722656,0.237673,0.214379,0.102616,0.56,1.51,0,12
292,122,176,0,0.722656,0.441349,0.401150,0.184033,0.56,1.64,0,13
293,123,176,0,0.722656,0.283628,0.254072,0.126064,0.60,1.80,0,14
294,118,176,0,0.722656,0.265648,0.235779,0.122381,0.65,1.95,0,15
295,124,176,0,0.722656,0.341182,0.305724,0.151453,0.57,1.76,0,15
296,122,176,0,0.718750,0.339511,0.313598,0.130091,0.53,1.51,0,13
297,113,176,0,0.722656,0.544864,0.492232,0.233634,0.58,1.62,0,14
298,122,176,0,0.722656,0.326067,0.295619,0.137583,0.58,1.77,0,15
299,110,176,0,0.722656,0.285465,0.261004,0.115619,0.61,1.53,0,15
300,130,176,0,0.722656,0.343870,0.306512,0.155876,0.41,1.17,0,10
301,112,176,0,0.722656,0.565075,0.493190,0.275813,0.53,1.29,0,11
302,127,176,0,0.722656,0.346623,0.313727,0.147387,0.49,1.44,0,12
303,114,176,0,0.722656,0.305632,0.279704,0.123193,0.59,1.57,0,13
304,116,176,0,0.722656,0.297795,0.265485,0.134905,0.62,1.73,0,14
305,128,176,0,0.722656,0.327219,0.290611,0.150392,0.54,1.84,0,15
306,125,176,0,0.722656,0.283716,0.255698,0.122936,0.48,1.59,0,15
307,115,176,0,0.722656,0.438202,0.391955,0.195941,0.53,1.30,0,12
308,109,176,0,0.722656,0.321304,0.275583,0.165197,0.60,1.43,0,13
309,126,176,0,0.722656,0.279268,0.245408,0.133287,0.48,1.50,0,14
310,115,176,0,0.722656,0.331753,0.298028,0.145738,0.57,1.63,0,15
311,130,176,0,0.722656,0.357555,0.316058,0.167191,0.43,1.30,0,14
